name,type,USasset,action,location,group
ORIFICE33@17312-17313,orifice,17311,0,CC Forebay,1
PUMP44@5220-5219,pump,5220,0,Freud Storm PS,1
PUMP34@5010-5009,pump,5010,0,CC Storm PS,1
ISD002_DOWN,orifice,1509,0,ISD002,2
ISD003_DOWN,orifice,RC1954,0,ISD003,2
ISD004_DOWN,orifice,1520,0,ISD004,2
ISD005_DOWN,orifice,2020,0,ISD005,3
ISD006_DOWN,orifice,2150,0,ISD006,4
ISD007_DOWN,orifice,2180,0,ISD007,4
ISD008_DOWN,orifice,2190,0,ISD008,4
ISD009_DOWN,orifice,2198,0,ISD009,4
ISD010_DOWN,orifice,2220,0,ISD010,4
ISD011_DOWN,orifice,2750,0,ISD011,5
ISD012_DOWN,orifice,2525,0,ISD012,5
ISD013_DOWN,orifice,2360,0,ISD013,5
ORIFICE22@2909-2999,orifice,2909,0,CC Dewatering,6
PUMP13@1700-1695,pump,1700,0,Fairview PS,7